时间点    事件
29        [2楼]: 队列人数+1， 当前人数：1
30        [2楼]: 电梯外层上升按钮被按下
49        电梯1[2楼]: 电梯开门中
69        电梯1[2楼]: 电梯等候中
94        电梯1[2楼]: 进入1人 电梯人数:1 外部队列人数:0
94        电梯1[2楼]: 5楼按钮被按下
97        [0楼]: 队列人数+1， 当前人数：1
98        [2楼]: 电梯外层上升按钮被按下
109       电梯1[2楼]: 电梯关门中
129       电梯1[2楼]: 电梯上升中
134       [2楼]: 队列人数+1， 当前人数：1
135       [2楼]: 电梯外层上升按钮被按下
149       电梯1[3楼]: 电梯上升中
151       [3楼]: 队列人数+1， 当前人数：1
152       [2楼]: 电梯外层上升按钮被按下
157       [2楼]: 队列人数+1， 当前人数：2
158       [2楼]: 电梯外层下降按钮被按下
161       [0楼]: 队列人数+1， 当前人数：2
169       电梯1[4楼]: 电梯上升中
189       电梯1[5楼]: 电梯开门中
209       电梯1[5楼]: 电梯等候中
222       [3楼]: 队列人数+1， 当前人数：2
223       [2楼]: 电梯外层下降按钮被按下
235       电梯1[5楼]: 离开1人  电梯人数:0
249       电梯1[5楼]: 电梯关门中
269       电梯1[5楼]: 电梯闲置中
278       [0楼]: 队列人数+1， 当前人数：3
